Mã sản phẩm,Tên sản phẩm,Màu sắc,Đơn vị tính,Dòng sản phẩm,Nhóm sản phẩm
	000214004000000,Xe đạp Thống Nhất GN 05-26,	05-26,Chiếc,Xe GN 05-26,Xe phổ thông
	000333002022000,Xe đạp Thống Nhất Super 26 xanh,	xanh,Chiếc,Xe Super 26,Xe thể thao thép
	000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,	Đỏ tươi,Chiếc,Xe New 24,Xe phổ thông
	000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,	Đen,Chiếc,Xe GN 06-26 2.0,Xe phổ thông
	000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,	Coban,Chiếc,Xe GN 06-26,Xe phổ thông
	000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,	Café/nâu,Chiếc,Xe New 26,Xe phổ thông
	000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,	Café/nâu,Chiếc,Xe LD 24-01_2023,Xe phổ thông
	000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,	Đỏ tươi,Chiếc,Xe New 26,Xe phổ thông
	000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,	Đỏ tươi,Chiếc,Xe MTB 26 02,Xe phổ thông
	1030010000080000,Xe đạp Thống Nhất TE Batman12 Ghi,	Ghi,Chiếc,Xe TE Batman12 (IP - Bản quyền),Xe trẻ em nhóm 2
	000131002007000,Xe đạp Thống Nhất GN 06 20 Coban,	Coban,Chiếc,Xe GN 06 20,Xe trẻ em nhóm 1
	000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",	Ngọc,Chiếc,Xe Nữ,Xe phổ thông
	000207004000000,Xe đạp Thống Nhất 219-05-26,	219-05-26,Chiếc,Xe 219-05-26,Xe phổ thông
	1000300050010000,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),	Đen,Chiếc,Xe MTB SPD 27.5,Xe thể thao nhôm
	000218004005000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Cam,	Cam,Chiếc,Xe GN 06-27 2.0 Pro,Xe thể thao thép
	1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,	Café/nâu,Chiếc,Xe Spaceboy 16,Xe trẻ em nhóm 2
	1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,	Xanh dương,Chiếc,Xe Spaceboy 16,Xe trẻ em nhóm 2
	000117002023000,Xe đạp thống nhất TE Bunny 16 Kem,	Kem,Chiếc,Xe Bunny 16,Xe trẻ em nhóm 2
	1000210020090000,Xe đạp Thống Nhất TE Love 12 Hồng,	Hồng,Chiếc,Xe Love 12,Xe trẻ em nhóm 2
	1000220020090000,Xe đạp Thống Nhất TE Love 16 Hồng,	Hồng,Chiếc,Xe Love 16,Xe trẻ em nhóm 2
	1040010000080000,Xe đạp Thống Nhất TE Batman16 Ghi,	Ghi,Chiếc,Xe TE Batman16 (IP - Bản quyền),Xe trẻ em nhóm 2
	000218002007000,Xe đạp Thống Nhất GN 06-27 Coban,	Coban,Chiếc,Xe GN 06-27,Xe phổ thông
	000224002009000,Xe đạp Thống Nhất New 24 Hồng,	Hồng,Chiếc,Xe New 24,Xe phổ thông
	000224002002000,Xe đạp Thống Nhất New 24 Trắng,	Trắng,Chiếc,Xe New 24,Xe phổ thông
	000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,	Café/nâu,Chiếc,Xe New 24,Xe phổ thông
	000225002023000,Xe đạp Thống Nhất New 26 Kem,	Kem,Chiếc,Xe New 26,Xe phổ thông
	000225002002000,Xe đạp Thống Nhất New 26 Trắng,	Trắng,Chiếc,Xe New 26,Xe phổ thông
	000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,	Xanh mint,Chiếc,Xe New 26,Xe phổ thông
	000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,	Hồng,Chiếc,Xe Puppy 20,Xe trẻ em nhóm 1
	000125002002000,Xe đạp Thống Nhất Puppy 20 Trắng,	Trắng,Chiếc,Xe Puppy 20,Xe trẻ em nhóm 1
	1000240020090000,Xe đạp Thống Nhất TE Bunny 16 Hồng,	Hồng,Chiếc,Xe Bunny 16,Xe trẻ em nhóm 2
	1000240020220000,Xe đạp Thống Nhất TE Bunny 16 Xanh dương,	Xanh dương,Chiếc,Xe Bunny 16,Xe trẻ em nhóm 2
	1000230020090000,Xe đạp Thống Nhất TE Bunny 12 Hồng,	Hồng,Chiếc,Xe Bunny 12,Xe trẻ em nhóm 2
	1000220020220000,Xe đạp Thống Nhất TE Love 16 Xanh dương,	Xanh dương,Chiếc,Xe Love 16,Xe trẻ em nhóm 2
	000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,	Ghi,Chiếc,Xe GN 06-26 2.0,Xe phổ thông
	000333002001000,Xe đạp Thống Nhất Super 26 đen,	đen,Chiếc,Xe Super 26,Xe thể thao thép
	1000300050080000,Xe đạp Thống Nhất MTB SPD 27.5 ( Ghi),	Ghi,Chiếc,Xe MTB SPD 27.5,Xe thể thao nhôm
	000217003005000,Xe đạp Thống Nhất GN 06-26 2.0 Cam,	Cam,Chiếc,Xe GN 06-26 2.0,Xe phổ thông
	000218003008000,Xe đạp Thống Nhất GN 06-27 2.0 Ghi,	Ghi,Chiếc,Xe GN 06-27 2.0,Xe phổ thông
	000218003001000,Xe đạp Thống Nhất GN 06-27 2.0 Đen,	Đen,Chiếc,Xe GN 06-27 2.0,Xe phổ thông
	000218003005000,Xe đạp Thống Nhất GN 06-27 2.0 Cam,	Cam,Chiếc,Xe GN 06-27 2.0,Xe phổ thông
	000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,	Xanh mint,Chiếc,Xe New 24,Xe phổ thông
	000224002023000,Xe đạp Thống Nhất New 24 Kem,	Kem,Chiếc,Xe New 24,Xe phổ thông
	000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,	Ghi,Chiếc,Xe GN 06-24 2.0,Xe phổ thông
	000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,	Kem,Chiếc,Xe LD 24-01_2023,Xe phổ thông
	000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,	Đen,Chiếc,Xe GN 06-24 2.0,Xe phổ thông
	000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,	Xanh dương,Chiếc,Xe MTB 26 02,Xe phổ thông
	000225002009000,Xe đạp Thống Nhất New 26 Hồng,	Hồng,Chiếc,Xe New 26,Xe phổ thông
	000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,	Trắng,Chiếc,Xe LD 24-01_2023,Xe phổ thông
	000330002001000,Xe đạp Thống Nhất MTB 24-03 Đen,	Đen,Chiếc,Xe MTB 24-03,Xe phổ thông
	000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,	Xanh,Chiếc,Xe Puppy 20,Xe trẻ em nhóm 1
	000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,	Xanh Santorini,Chiếc,Xe LD 24-01_2023,Xe phổ thông
	000314002005000,Xe đạp Thống Nhất MTB 24-04 Tem cam,	Tem cam,Chiếc,Xe MTB 24-04,Xe thể thao thép
	1000340010090000,"Xe đạp Thống Nhất TE The Powerpuff Girls 12"" Hồng",	Hồng,Chiếc,Xe TE Powerpuff Girls 12 (IP - Bản quyền),Xe trẻ em nhóm 2
	1000250020050000,Xe đạp Thống Nhất TE Robot 16 Cam,	Cam,Chiếc,Xe Robot 16,Xe trẻ em nhóm 2
	1000330010240000,"Xe đạp Thống Nhất The Powerpuff Girls 16"" Tím",	Tím,Chiếc,Xe TE Powerpuff Girls 16 (IP - Bản quyền),Xe trẻ em nhóm 2
	000124002009000,Xe đạp Thống Nhất Neo 2004 Hồng,	Hồng,Chiếc,Xe Neo 2004,Xe trẻ em nhóm 1
	1000320010090000,"Xe đạp Thống Nhất Wonder Woman 20"" Hồng",	Hồng,Chiếc,Xe TE Wonder Woman 20 (IP - Bản quyền),Xe trẻ em nhóm 2
	000330002002200,Xe đạp Thống Nhất MTB 24-03 Xanh dương,	Xanh dương,Chiếc,Xe MTB 24-03,Xe phổ thông
	000231003002000,Xe đạp Thống Nhất M2601 Trắng,	Trắng,Chiếc,Xe M2601,Xe thể thao thép
	000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,	Ghi,Chiếc,Xe MTB 26 02,Xe phổ thông
	000304002004000,Xe đạp Thống Nhất MTB 20-04 Tem đỏ,	Tem đỏ,Chiếc,Xe MTB 20-04,Xe trẻ em nhóm 1
	000314002019000,Xe đạp Thống Nhất MTB 24-04 Tem vàng,	vàng,Chiếc,Xe MTB 24-04,Xe thể thao thép
	000217004005000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Cam,	Cam,Chiếc,Xe GN 06-26 2.0 Pro,Xe thể thao thép
	000123002009000,Xe đạp Thống Nhất Neo 20-03 Hồng,	Hồng,Chiếc,Xe Neo 20-03,Xe trẻ em nhóm 1
	1000250020220000,Xe đạp Thống Nhất TE Robot 16 Xanh dương,	Xanh dương,Chiếc,Xe Robot 16,Xe trẻ em nhóm 2
	000314002020000,Xe đạp Thống Nhất MTB 24-04 Tem Xanh da trời,	trời,Chiếc,Xe MTB 24-04,Xe thể thao thép
	000217004008000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Ghi,	Ghi,Chiếc,Xe GN 06-26 2.0 Pro,Xe thể thao thép
	000413002001000,Xe đạp Thống Nhất Highway 27.5 Đen bóng,	bóng,Chiếc,Xe Highway 27.5,Xe thể thao thép
	000413002003000,Xe đạp Thống Nhất Highway 27.5 Đỏ đun,	Đỏ đun,Chiếc,Xe Highway 27.5,Xe thể thao thép
	000413002022000,Xe đạp Thống Nhất Highway 27.5 Xanh dương,	Xanh dương,Chiếc,Xe Highway 27.5,Xe thể thao thép
	000208002007000,Xe đạp Thống Nhất 219-24 Coban,	Coban,Chiếc,Xe 219-24,Xe phổ thông
	000216002007000,Xe đạp Thống Nhất GN 06-24 Coban,	Coban,Chiếc,Xe GN 06-24,Xe phổ thông
	000216003005000,Xe đạp Thống Nhất GN 06-24 2.0 Cam,	Cam,Chiếc,Xe GN 06-24 2.0,Xe phổ thông
