Ngày đặt hàng,Số đơn hàng,Mã khách hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền
1/2/2025,BH25.0001,"	KH-00001","	000214004000000",1,2305555.56,2305556
1/6/2025,BH25.0002,"	KH-00002","	000333002022000",1,3509259.26,3509259
1/6/2025,BH25.0003,"	KH-00003","	000224002004000",1,2398148.15,2398148
1/6/2025,BH25.0004,"	KH-00004","	000217003001000",5,2453703.7,12268519
1/7/2025,BH25.0005,"	KH-00005","	000217002007000",2,2212962.96,4425926
1/7/2025,BH25.0006,"	KH-00006","	000225002015000",11,1898148,20879628
1/7/2025,BH25.0006,"	KH-00006","	000226003015000",4,2037037,8148148
1/8/2025,BH25.0007,"	KH-00007","	000217003001000",5,1594907.41,7974537
1/8/2025,BH25.0007,"	KH-00007","	000226003015000",2,1685185.19,3370370
1/8/2025,BH25.0007,"	KH-00007","	000225002004000",28,1618981.48,45331481
1/8/2025,BH25.0007,"	KH-00007","	000224002004000",13,1558796.3,20264352
1/8/2025,BH25.0007,"	KH-00007","	000214004000000",6,1498611.11,8991667
1/8/2025,BH25.0007,"	KH-00007","	000331002004000",17,1799537.04,30592130
1/8/2025,BH25.0007,"	KH-00007","	1030010000080000",3,1289814.81,3869444
1/8/2025,BH25.0007,"	KH-00007","	000131002007000",15,1197685.19,17965278
1/8/2025,BH25.0007,"	KH-00007","	000401002016002",36,1516666.67,54600000
1/8/2025,BH25.0007,"	KH-00007","	000207004000000",5,1498611.11,7493056
1/8/2025,BH25.0007,"	KH-00007","	1000300050010000",16,2943055.56,47088889
1/9/2025,BH25.0008,"	KH-00009","	000224002004000",20,2222222.22,44444444
1/9/2025,BH25.0009,"	KH-00008","	000218004005000",2,3324074.07,6648148
1/9/2025,BH25.0010,"	KH-00010","	1000270020150000",3,500000,1500000
1/9/2025,BH25.0010,"	KH-00010","	1000270020220000",3,500000,1500000
1/9/2025,BH25.0010,"	KH-00010","	000117002023000",5,500000,2500000
1/9/2025,BH25.0010,"	KH-00010","	000117002023000",10,500000,5000000
1/9/2025,BH25.0010,"	KH-00010","	1000210020090000",3,470000,1410000
1/9/2025,BH25.0010,"	KH-00010","	1000220020090000",3,500000,1500000
1/9/2025,BH25.0010,"	KH-00010","	1040010000080000",3,1231481.48,3694444
1/9/2025,BH25.0011,"	KH-00011","	000218002007000",1,2305555.56,2305556
1/10/2025,BH25.0012,"	KH-00012","	000226003015000",1,2592592.59,2592593
1/10/2025,BH25.0013,"	KH-00013","	000225002007000",1,2490740.74,2490741
