ID Bản ghi,Ngày đặt hàng,Năm tài chính,Quý,Tháng,Tuần trong năm,Số đơn hàng,ID Đơn hàng,ID Dòng hàng,Mã khách hàng,Tên khách hàng,ID Tỉnh thành,Tên tỉnh thành,Khu vực,Mã sản phẩm,Tên sản phẩm,Màu sắc,ID Dòng sản phẩm,Tên dòng sản phẩm,Mã nhóm sản phẩm,Tên nhóm sản phẩm,Số lượng,Đơn giá,Thành tiền
1,1/2/2025,2025,1,1,1,BH25.0001,1,1,KH-00001,HỘ KINH DOANH TÚ ANH,11,Hà Nội,Miền Bắc,2.14004E+11,Xe đạp Thống Nhất GN 05-26,26-May,5,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,1,2305555.56,2305556
2,1/6/2025,2025,1,1,2,BH25.0002,2,2,KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,11,Hà Nội,Miền Bắc,3.33002E+11,Xe đạp Thống Nhất Super 26 xanh,xanh,70,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1,3509259.26,3509259
3,1/6/2025,2025,1,1,2,BH25.0003,3,3,KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,11,Hà Nội,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,20,Xe New 24,CITYBIKE_P,Xe phổ thông,1,2398148.15,2398148
4,1/6/2025,2025,1,1,2,BH25.0004,4,4,KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,,,,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,5,2453703.7,12268519
5,1/7/2025,2025,1,1,2,BH25.0005,5,5,KH-00005,CÔNG TY TNHH ĐẠI LỢI,11,Hà Nội,Miền Bắc,2.17002E+11,Xe đạp Thống Nhất GN 06-26 Coban,Coban,9,Xe GN 06-26,CITYBIKE_P,Xe phổ thông,2,2212962.96,4425926
6,1/7/2025,2025,1,1,2,BH25.0006,6,6,KH-00006,CÔNG TY TNHH CHI THÀNH,48,TP. Hồ Chí Minh,Miền Nam,2.25002E+11,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,21,Xe New 26,CITYBIKE_P,Xe phổ thông,11,1898148,20879628
7,1/7/2025,2025,1,1,2,BH25.0006,6,7,KH-00006,CÔNG TY TNHH CHI THÀNH,48,TP. Hồ Chí Minh,Miền Nam,2.26003E+11,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,4,2037037,8148148
8,1/8/2025,2025,1,1,2,BH25.0007,7,8,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,5,1594907.41,7974537
9,1/8/2025,2025,1,1,2,BH25.0007,7,9,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2.26003E+11,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,2,1685185.19,3370370
10,1/8/2025,2025,1,1,2,BH25.0007,7,10,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Đỏ tươi,Đỏ tươi,21,Xe New 26,CITYBIKE_P,Xe phổ thông,28,1618981.48,45331481
