Số đơn hàng,Ngày đơn hàng,Thời gian nhận Email,Email người gửi,Tên file đính kèm,Tên đơn vị bán,MST bên bán,Địa chỉ bên bán,Số điện thoại bên bán,Tên đại lý,MST đại lý,Địa chỉ giao hàng,Số điện thoại đại lý,Mã hàng,Tên sản phẩm,Đơn vị tính,Số lượng,Đơn giá,Thành tiền sản phẩm,Tổng số lượng chiếc,Tổng giá trị (Chưa VAT)
BH26.0935,3/1/2026,3/1/2026 14:28,dathang@longphu.vn,BH26_0935.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",875649429,1.04002E+11,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,Chiếc,1,1898148,1898148,1,1898148
BH26.0936,3/1/2026,3/1/2026 8:01,dathang@longphu.vn,BH26_0936.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",905368582,2.30002E+11,Xe đạp Thống Nhất LD 26 Pastel Xanh,Chiếc,1,2861111,2861111,1,2861111
BH26.0937,3/1/2026,3/1/2026 17:39,dathang@longphu.vn,BH26_0937.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",726429568,1.03002E+11,Xe đạp Thống Nhất We Bare Bears 16 Hồng,Chiếc,1,1935185,1935185,1,1935185
BH26.0938,3/1/2026,3/1/2026 14:00,dathang@namtien.vn,BH26_0938.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,CÔNG TY CỔ PHẦN NAM TIẾN,111014028,"Phường Phú Diễn, TP Hà Nội",804282252,3.31002E+11,Xe đạp Thống Nhất MTB 26-02 Ghi,Chiếc,1,2953704,2953704,1,2953704
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.25002E+11,Xe đạp Thống Nhất New 26 Kem,Chiếc,2,1616111,3232222,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.25002E+11,Xe đạp Thống Nhất New 26 Trắngg,Chiếc,3,1616111,4848333,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.25002E+11,Xe đạp Thống Nhất New 26 Café/nâu,Chiếc,1,1616111,1616111,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.25002E+11,Xe đạp Thống Nhất New 26 Xanh mint,Chiếc,2,1616111,3232222,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.09002E+11,Xe đạp Thống Nhất 219-26 Coban,Chiếc,1,1469444,1469444,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,3.36002E+11,Xe đạp Thống Nhất SK 20 Đỏ,Chiếc,1,1377777,1377777,55,78111272
